Date,Open,High,Low,Close,Adj Close,Volume
2021-08-01,13.528723,14.062380,12.652550,12.877432,12.877432,90946247
2021-08-02,12.861507,13.369730,12.649082,13.006891,13.006891,54993392
2021-08-03,13.000876,13.510858,12.335033,12.533294,12.533294,60826755
2021-08-04,12.560795,13.767554,12.421239,13.679925,13.679925,66911765
2021-08-05,13.696864,13.941016,12.923048,13.834281,13.834281,76011395
2021-08-06,13.834606,14.962121,13.411563,14.725431,14.725431,105878541
2021-08-07,14.757721,15.921668,14.621930,15.761190,15.761190,128714036
2021-08-08,15.837834,16.091908,14.584627,14.814119,14.814119,78280305
2021-08-09,14.809564,16.728161,14.474168,16.231806,16.231806,143463343
2021-08-10,16.182020,17.168316,15.806886,16.448439,16.448439,124902142
2021-08-11,16.426006,17.554728,16.391657,16.748678,16.748678,122723375
2021-08-12,16.725693,17.536139,15.478687,16.569054,16.569054,112149586
2021-08-13,16.597775,18.279350,16.414026,18.048754,18.048754,113858977
2021-08-14,18.032701,18.407064,17.242128,18.067650,18.067650,101585490
2021-08-15,18.107939,18.820534,17.165447,18.795135,18.795135,101215297
2021-08-16,18.771498,21.113394,18.494005,19.182631,19.182631,252835090
2021-08-17,19.076418,25.346676,18.481083,23.529999,23.529999,737983102
2021-08-18,23.425014,30.884371,21.543831,29.890814,29.890814,1170857988
2021-08-19,30.035482,33.709991,28.806576,30.634274,30.634274,1116363939
2021-08-20,30.667894,39.185303,29.999386,39.185303,39.185303,962895338
2021-08-21,39.126446,49.961567,37.804619,43.786911,43.786911,1931663488
2021-08-22,43.733883,45.005493,40.760937,43.532200,43.532200,1163748675
2021-08-23,43.630627,53.068478,43.630627,46.450531,46.450531,1527912599
2021-08-24,46.517727,58.984772,44.314716,55.345852,55.345852,2249385587
2021-08-25,55.572769,57.433067,45.710415,46.115124,46.115124,1541625994
2021-08-26,46.258255,48.457481,41.420753,41.420753,41.420753,1202053529
2021-08-27,41.371857,50.411098,40.332150,50.077789,50.077789,1672611618
2021-08-28,50.135563,51.761093,46.243622,50.197136,50.197136,1165188185
2021-08-29,50.237129,52.412930,46.795429,47.509106,47.509106,790206804
2021-08-30,47.482578,48.226082,41.141460,41.325077,41.325077,863132838
2021-08-31,41.461670,44.168255,38.392105,39.487350,39.487350,863301439
2021-09-01,39.543476,45.529957,38.628056,41.931602,41.931602,1042268891
2021-09-02,42.478481,47.849262,41.296352,47.755917,47.755917,967474676
2021-09-03,47.650715,51.549908,44.889061,45.911182,45.911182,1292097111
2021-09-04,45.900158,49.788338,44.165131,47.143166,47.143166,920757965
2021-09-05,47.204662,49.384651,45.589752,48.178925,48.178925,870312119
2021-09-06,48.146778,51.304600,43.671879,47.042988,47.042988,1176511096
2021-09-07,47.092613,47.180855,32.801224,37.598949,37.598949,1505074715
2021-09-08,37.662605,39.429508,33.284008,37.051407,37.051407,932136418
2021-09-09,36.581036,44.550735,36.156017,40.772614,40.772614,1331437306
2021-09-10,40.731609,49.605160,40.483967,49.189137,49.189137,2437929731
2021-09-11,49.481224,58.990349,48.353607,57.164246,57.164246,2562681437
2021-09-12,57.098942,64.873032,53.831429,59.259430,59.259430,2713467627
2021-09-13,59.302189,60.749023,48.057262,53.110153,53.110153,2513345537
2021-09-14,53.203190,57.167706,49.250038,51.578117,51.578117,1243073204
2021-09-15,51.503902,58.111759,50.363480,57.625393,57.625393,1139814004
2021-09-16,57.891899,67.858849,57.290649,67.842697,67.842697,2877776131
2021-09-17,67.673767,70.784729,60.916031,69.934013,69.934013,2149572436
2021-09-18,70.071068,75.324799,67.248055,69.012383,69.012383,1951788341
2021-09-19,68.860992,76.213913,66.546936,70.075722,70.075722,1827002963
2021-09-20,70.093880,70.397858,55.915348,56.677929,56.677929,2342075415
2021-09-21,57.325871,66.106621,52.868923,59.017357,59.017357,2637731601
2021-09-22,58.983479,74.473717,57.962494,74.187035,74.187035,2640281903
2021-09-23,74.086197,79.522591,73.026749,76.419060,76.419060,2336551605
2021-09-24,76.457024,78.351608,67.140198,72.401901,72.401901,2238592113
2021-09-25,72.389549,72.636429,67.695068,68.381660,68.381660,1022340249
2021-09-26,68.351662,71.481285,61.881161,66.861969,66.861969,1282520288
2021-09-27,66.881004,72.469070,65.468826,66.508759,66.508759,1210911405
2021-09-28,66.371300,69.436226,61.250835,61.517719,61.517719,989963988
2021-09-29,61.600773,69.243546,61.387615,65.520004,65.520004,1366679673
2021-09-30,65.507896,68.721069,64.363678,66.765884,66.765884,1122979274
2021-10-01,66.626358,69.440208,63.308277,67.570396,67.570396,1441796222
2021-10-02,67.633919,73.357719,65.877022,69.220490,69.220490,1391263335
2021-10-03,69.132828,71.539963,67.653046,68.717041,68.717041,1003680421
2021-10-04,68.683022,68.683022,64.004288,65.159843,65.159843,949626760
2021-10-05,65.247177,66.719330,62.942802,64.650116,64.650116,813159957
2021-10-06,64.599770,65.695107,58.682579,60.114075,60.114075,963971611
2021-10-07,60.029919,62.273556,57.560555,61.488354,61.488354,906896093
2021-10-08,61.519585,64.920471,60.065067,60.520226,60.520226,812757714
2021-10-09,60.395821,61.953396,59.862900,60.566257,60.566257,368977448
2021-10-10,60.570847,60.883995,55.544422,56.593575,56.593575,450502943
2021-10-11,56.589451,59.194138,53.956230,55.304611,55.304611,590939451
2021-10-12,55.338387,55.338387,51.227615,54.357971,54.357971,692864342
2021-10-13,54.353676,57.052876,53.330341,55.152489,55.152489,655950094
2021-10-14,54.992874,58.427868,54.952103,56.081104,56.081104,521698717
2021-10-15,56.178860,57.090157,54.602188,56.251087,56.251087,559567841
2021-10-16,56.310177,61.839802,55.712101,57.483093,57.483093,730039645
2021-10-17,57.569977,58.532707,53.553791,56.077366,56.077366,388579198
2021-10-18,56.037670,56.425823,54.254124,55.474483,55.474483,301848293
2021-10-19,55.531334,58.032936,55.129128,56.816975,56.816975,369199133
2021-10-20,56.807442,61.553413,56.725204,59.559841,59.559841,557808885
2021-10-21,59.631687,64.312057,58.895515,61.309811,61.309811,834466444
2021-10-22,61.447987,68.641785,61.422531,65.455284,65.455284,1235036359
2021-10-23,65.532471,69.101700,64.567146,65.459167,65.459167,675884810
2021-10-24,65.435112,67.588387,61.973976,64.518394,64.518394,512814089
2021-10-25,64.553665,69.824692,64.381531,69.824692,69.824692,559909250
2021-10-26,69.709671,72.882210,67.823219,68.871132,68.871132,913850539
2021-10-27,68.671959,69.548653,57.861244,61.516636,61.516636,947198473
2021-10-28,61.525433,64.931313,61.525433,64.430077,64.430077,593781415
2021-10-29,64.383186,66.127312,63.538700,64.772469,64.772469,390478927
2021-10-30,64.733238,64.775375,61.095364,62.415268,62.415268,340551397
2021-10-31,62.313251,64.436340,60.341034,64.287804,64.287804,385833917
