,Datum,AnzahlPosts,Sentiment,Kurs
0,2021-08-01,2,0.238,14.06238
1,2021-08-03,2,0.154,13.510858
2,2021-08-04,6,0.017,13.767554
3,2021-08-05,2,0.0,13.941016
4,2021-08-06,1,0.0,14.962121
5,2021-08-07,1,-0.078,15.921668
6,2021-08-08,4,0.007,16.091908
7,2021-08-12,3,0.097,17.536139
8,2021-08-13,1,0.175,18.27935
9,2021-08-14,5,0.033,18.407064
10,2021-08-15,6,0.032,18.820534
11,2021-08-16,2,0.015,21.113394
12,2021-08-17,9,0.04,25.346676
13,2021-08-18,3,0.056,30.884371
14,2021-08-19,9,0.074,33.709991
15,2021-08-20,3,0.078,39.185303
16,2021-08-21,10,0.01,49.961567
17,2021-08-22,11,0.074,45.005493
18,2021-08-23,12,0.005,53.068478
19,2021-08-24,8,0.005,58.984772
20,2021-08-25,11,0.114,57.433067
21,2021-08-26,4,0.091,48.457481
22,2021-08-27,5,0.217,50.411098
23,2021-08-28,5,0.038,51.761093
24,2021-08-29,8,0.063,52.41293
25,2021-08-30,8,-0.043,48.226082
26,2021-08-31,10,0.042,44.168255
27,2021-09-01,12,0.105,45.529957
28,2021-09-02,7,0.004,47.849262
29,2021-09-03,4,0.142,51.549908
30,2021-09-04,8,0.063,49.788338
31,2021-09-05,6,0.076,49.384651
32,2021-09-06,10,0.136,51.3046
33,2021-09-07,10,0.033,47.180855
34,2021-09-08,20,-0.013,39.429508
35,2021-09-09,7,0.056,44.550735
36,2021-09-10,3,0.054,49.60516
37,2021-09-11,5,-0.067,58.990349
38,2021-09-12,15,0.056,64.873032
39,2021-09-13,9,0.15,60.749023
40,2021-09-14,10,-0.05,57.167706
41,2021-09-16,11,0.03,67.858849
42,2021-09-17,4,0.062,70.784729
43,2021-09-18,6,0.103,75.324799
44,2021-09-19,14,0.021,76.213913
45,2021-09-20,11,0.105,70.397858
46,2021-09-21,6,0.05,66.106621
47,2021-09-22,12,0.044,74.473717
48,2021-09-23,6,-0.01,79.522591
49,2021-09-24,10,0.004,78.351608
50,2021-09-25,4,0.056,72.636429
51,2021-09-26,5,0.091,71.481285
52,2021-09-27,11,0.051,72.46907
53,2021-09-28,6,0.015,69.436226
54,2021-09-29,6,0.015,69.243546
55,2021-09-30,10,0.071,68.721069
56,2021-10-01,4,0.005,69.440208
57,2021-10-02,2,-0.208,73.357719
58,2021-10-03,6,0.033,71.539963
59,2021-10-04,14,0.057,68.683022
60,2021-10-05,6,0.061,66.71933
61,2021-10-06,6,0.017,65.695107
62,2021-10-07,8,0.083,62.273556
63,2021-10-08,7,0.024,64.920471
64,2021-10-09,4,0.172,61.953396
65,2021-10-10,5,0.008,60.883995
66,2021-10-11,4,0.088,59.194138
67,2021-10-12,4,0.049,55.338387
68,2021-10-14,3,0.051,58.427868
69,2021-10-15,8,0.008,57.090157
70,2021-10-16,13,0.03,61.839802
71,2021-10-17,7,0.016,58.532707
72,2021-10-18,5,0.106,56.425823
73,2021-10-19,8,0.011,58.032936
74,2021-10-20,4,0.126,61.553413
75,2021-10-21,9,0.025,64.312057
76,2021-10-22,11,0.032,68.641785
77,2021-10-23,6,0.095,69.1017
78,2021-10-24,6,0.011,67.588387
79,2021-10-25,10,0.049,69.824692
80,2021-10-26,8,-0.048,72.88221
81,2021-10-27,11,0.035,69.548653
82,2021-10-28,16,0.035,64.931313
83,2021-10-29,5,0.003,66.127312
84,2021-10-30,7,0.072,64.775375
85,2021-10-13,2,0.109,57.052876
86,2021-08-09,1,0.0,16.728161
87,2021-08-11,2,0.0,17.554728
88,2021-09-15,1,0.0,58.111759
