,Datum,AnzahlPosts,Sentiment,Kurs
0,2021-08-01,251,0.008,42541.679688
1,2021-08-02,293,0.024,40419.179688
2,2021-08-03,304,0.002,39750.03125
3,2021-08-04,320,0.017,39952.296875
4,2021-08-05,359,0.034,41341.933594
5,2021-08-06,283,0.02,43271.660156
6,2021-08-07,339,0.016,44689.859375
7,2021-08-08,353,0.036,45282.351563
8,2021-08-09,350,0.018,46456.832031
9,2021-08-10,368,0.012,46637.988281
10,2021-08-11,367,0.018,46735.632813
11,2021-08-12,330,0.024,46228.910156
12,2021-08-13,389,0.027,47831.976563
13,2021-08-14,398,0.024,48098.683594
14,2021-08-15,364,0.028,47357.105469
15,2021-08-16,398,0.028,47998.097656
16,2021-08-17,411,0.034,47139.570313
17,2021-08-18,339,0.022,45952.0625
18,2021-08-19,336,0.031,46970.761719
19,2021-08-20,342,0.02,49342.152344
20,2021-08-21,330,0.02,49717.019531
21,2021-08-22,315,0.029,49471.609375
22,2021-08-23,408,0.02,50482.078125
23,2021-08-24,396,0.014,49878.769531
24,2021-08-25,293,0.029,49202.878906
25,2021-08-26,326,0.028,49347.582031
26,2021-08-27,296,0.026,49112.785156
27,2021-08-28,227,0.039,49283.503906
28,2021-08-29,237,0.029,49644.113281
29,2021-08-30,250,0.023,48925.605469
30,2021-08-31,245,0.037,48189.550781
31,2021-09-01,299,0.01,49111.089844
32,2021-09-02,273,0.026,50343.421875
33,2021-09-03,287,0.02,50982.273438
34,2021-09-04,235,0.023,50545.582031
35,2021-09-05,244,0.037,51868.679688
36,2021-09-06,380,0.023,52700.941406
37,2021-09-07,528,0.013,52853.765625
38,2021-09-08,377,0.014,47334.054688
39,2021-09-09,291,0.029,47261.949219
40,2021-09-10,258,0.018,47031.742188
41,2021-09-11,239,0.023,45969.292969
42,2021-09-12,220,0.01,46364.878906
43,2021-09-13,266,0.029,46598.679688
44,2021-09-14,284,0.035,47218.125
45,2021-09-15,283,0.027,48450.46875
46,2021-09-16,259,0.023,48486.828125
47,2021-09-17,223,0.03,48160.921875
48,2021-09-18,191,0.046,48791.78125
49,2021-09-19,220,0.035,48328.367188
50,2021-09-20,289,0.021,47328.199219
51,2021-09-21,274,0.025,43607.609375
52,2021-09-22,258,0.024,43978.621094
53,2021-09-23,230,0.015,44942.175781
54,2021-09-24,280,0.03,45080.492188
55,2021-09-25,173,0.036,42996.257813
56,2021-09-26,197,0.004,43919.300781
57,2021-09-27,211,0.029,44313.246094
58,2021-09-28,194,0.026,42775.144531
59,2021-09-29,205,0.023,42545.257813
60,2021-09-30,223,0.011,44092.601563
61,2021-10-01,266,0.018,48436.011719
62,2021-10-02,185,0.028,48282.0625
63,2021-10-03,178,0.024,49130.691406
64,2021-10-04,216,0.005,49456.777344
65,2021-10-05,195,0.005,51839.984375
66,2021-10-06,255,0.014,55568.464844
67,2021-10-07,249,0.017,55338.625
68,2021-10-08,261,0.027,55922.980469
69,2021-10-09,250,0.027,55397.945313
70,2021-10-10,235,0.028,56401.304688
71,2021-10-11,296,0.013,57793.039063
72,2021-10-12,258,0.023,57627.878906
73,2021-10-13,220,0.012,57688.660156
74,2021-10-14,269,0.019,58478.734375
75,2021-10-15,389,0.015,62757.128906
76,2021-10-16,338,0.025,62274.476563
77,2021-10-17,257,0.023,61645.523438
78,2021-10-18,301,0.029,62614.660156
79,2021-10-19,378,0.035,64434.535156
80,2021-10-20,468,0.012,66930.390625
81,2021-10-21,392,0.025,66600.546875
82,2021-10-22,277,0.01,63715.023438
83,2021-10-23,215,0.019,61743.878906
84,2021-10-24,212,0.043,61505.804688
85,2021-10-25,273,0.037,63729.324219
86,2021-10-26,316,0.018,63229.027344
87,2021-10-27,299,0.014,61435.183594
88,2021-10-28,333,0.036,62128.632813
89,2021-10-29,256,0.032,62927.609375
90,2021-10-30,265,0.014,62330.144531
