,Datum,AnzahlPosts,Sentiment,Kurs
0,2021-08-01,90,0.089,7e-06
1,2021-08-02,33,0.077,6e-06
2,2021-08-03,62,0.09,6e-06
3,2021-08-04,25,0.07,6e-06
4,2021-08-05,25,0.111,6e-06
5,2021-08-06,17,0.031,6e-06
6,2021-08-07,10,0.032,8e-06
7,2021-08-08,24,0.065,9e-06
8,2021-08-09,18,0.063,8e-06
9,2021-08-10,14,0.024,8e-06
10,2021-08-11,17,0.028,8e-06
11,2021-08-12,27,0.095,8e-06
12,2021-08-13,16,0.129,8e-06
13,2021-08-14,34,0.025,9e-06
14,2021-08-15,31,0.036,9e-06
15,2021-08-16,24,0.016,9e-06
16,2021-08-17,27,-0.015,9e-06
17,2021-08-18,28,0.025,8e-06
18,2021-08-19,46,0.012,8e-06
19,2021-08-20,15,0.04,9e-06
20,2021-08-21,16,0.054,9e-06
21,2021-08-22,18,0.02,8e-06
22,2021-08-23,27,0.05,8e-06
23,2021-08-24,13,0.042,8e-06
24,2021-08-25,12,0.037,8e-06
25,2021-08-26,33,0.039,8e-06
26,2021-08-27,20,0.121,8e-06
27,2021-08-28,12,0.09,7e-06
28,2021-08-29,15,0.043,7e-06
29,2021-08-30,13,-0.056,7e-06
30,2021-08-31,16,0.015,7e-06
31,2021-09-01,34,0.126,7e-06
32,2021-09-02,32,0.088,7e-06
33,2021-09-03,11,0.025,7e-06
34,2021-09-04,13,0.03,8e-06
35,2021-09-05,13,0.032,8e-06
36,2021-09-06,6,0.022,8e-06
37,2021-09-07,11,0.05,7e-06
38,2021-09-08,9,0.223,8e-06
39,2021-09-09,16,0.052,8e-06
40,2021-09-10,28,0.039,8e-06
41,2021-09-11,7,0.009,7e-06
42,2021-09-12,15,0.034,7e-06
43,2021-09-13,20,0.022,7e-06
44,2021-09-14,16,0.03,7e-06
45,2021-09-15,17,0.002,7e-06
46,2021-09-16,33,0.035,9e-06
47,2021-09-17,43,-0.011,9e-06
48,2021-09-18,24,0.128,9e-06
49,2021-09-19,18,0.031,8e-06
50,2021-09-20,12,-0.025,8e-06
51,2021-09-21,18,0.007,7e-06
52,2021-09-22,17,0.051,7e-06
53,2021-09-23,10,0.035,8e-06
54,2021-09-24,9,0.008,8e-06
55,2021-09-25,12,0.049,8e-06
56,2021-09-26,11,0.072,7e-06
57,2021-09-27,10,0.027,7e-06
58,2021-09-28,13,0.021,7e-06
59,2021-09-29,7,0.101,7e-06
60,2021-09-30,10,0.006,7e-06
61,2021-10-01,16,0.0,8e-06
62,2021-10-02,12,0.068,8e-06
63,2021-10-03,12,0.108,9e-06
64,2021-10-04,31,-0.031,1.5e-05
65,2021-10-05,49,0.013,2e-05
66,2021-10-06,48,0.07,2.9e-05
67,2021-10-07,121,0.03,3.5e-05
68,2021-10-08,66,0.041,2.9e-05
69,2021-10-09,44,0.02,3e-05
70,2021-10-10,51,0.011,2.8e-05
71,2021-10-11,68,0.022,3.2e-05
72,2021-10-12,51,0.042,3.2e-05
73,2021-10-13,56,0.068,3.1e-05
74,2021-10-14,45,0.044,3e-05
75,2021-10-15,38,0.025,2.7e-05
76,2021-10-16,33,0.03,2.7e-05
77,2021-10-17,28,0.031,2.9e-05
78,2021-10-18,44,0.048,3e-05
79,2021-10-19,33,0.039,2.9e-05
80,2021-10-20,31,0.009,2.9e-05
81,2021-10-21,39,0.045,2.9e-05
82,2021-10-22,38,0.043,2.8e-05
83,2021-10-23,44,0.063,3.5e-05
84,2021-10-24,117,0.036,4.4e-05
85,2021-10-25,153,0.078,4.4e-05
86,2021-10-26,208,0.096,4.9e-05
87,2021-10-27,335,0.081,8.7e-05
88,2021-10-28,432,0.057,8.8e-05
89,2021-10-29,306,0.082,7.7e-05
90,2021-10-30,280,0.086,7.8e-05
